,Rk,From,To,Fr,Lg,Yrs,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,2015,2019,GSW,NBA,5,410,322,88,0.785,98925,17552,35778,12597,23213,4955,12565,6835,8689,3927,14526,18453,11927,3517,2686,6077,8278,46894
1,2,2015,2019,SAS,NBA,5,410,278,132,0.678,99000,16389,34762,12881,25422,3508,9340,6882,8667,4003,14067,18070,9845,3118,2259,5388,7390,43168
2,3,2015,2019,TOR,NBA,5,410,273,137,0.666,99125,16168,34890,12026,23443,4142,11447,7773,9825,4174,13653,17827,8834,3234,2143,5416,8537,44251
3,4,2015,2019,HOU,NBA,5,410,270,140,0.659,99000,15823,34900,10252,19190,5571,15710,8054,10779,4355,13409,17764,9219,3667,1986,6142,8627,45271
4,5,2015,2019,LAC,NBA,5,410,250,160,0.61,98850,16297,34591,12234,23640,4063,10951,7953,10782,3871,13930,17801,9554,3150,1974,5534,8672,44610
5,6,2015,2019,BOS,NBA,5,410,245,165,0.598,99000,16169,35905,11836,23679,4333,12226,6912,8805,4175,13843,18018,10056,3353,1790,5549,8508,43583
6,7,2015,2019,OKC,NBA,5,410,244,166,0.595,99150,16561,36297,12746,25204,3815,11093,7597,10234,5180,14163,19343,8952,3358,2186,6032,8727,44534
7,8,2015,2019,POR,NBA,5,410,238,172,0.58,99200,16277,35707,12005,24040,4272,11667,7139,9047,4459,14274,18733,8766,2780,1996,5687,8280,43965
8,9,2015,2019,CLE,NBA,5,410,230,180,0.561,99000,16035,34724,11434,22240,4601,12484,7047,9233,4123,13590,17713,9147,2809,1491,5638,7828,43718
9,10,2015,2019,UTA,NBA,5,410,227,183,0.554,98925,15343,33479,11368,22400,3975,11079,7109,9547,4199,13844,18043,8810,3175,2227,6043,8119,41770
10,11,2015,2019,IND,NBA,5,410,221,189,0.539,99050,16096,34958,12592,25353,3504,9605,6793,8800,3995,13753,17748,9289,3350,1919,5707,8118,42489
11,12,2015,2019,MIL,NBA,5,410,220,190,0.537,99150,16222,34455,12694,24574,3528,9881,7087,9255,3907,13617,17524,9852,3464,2243,6036,8529,43059
12,13,2015,2019,WAS,NBA,5,410,211,199,0.515,99350,16496,35365,12790,25067,3706,10298,6961,9168,4065,13552,17617,10149,3330,1769,5931,8607,43659
13,14,2015,2019,MIA,NBA,5,410,209,201,0.51,99000,15672,34279,11979,23763,3693,10516,6539,8980,4110,13657,17767,8930,3030,2257,5858,8178,41576
14,15,2015,2019,ATL,NBA,5,410,204,206,0.498,99000,15934,35079,11588,22886,4346,12193,6856,8984,3934,13694,17628,10213,3476,2030,6360,8056,43070
15,16,2015,2019,DEN,NBA,5,410,203,207,0.495,99075,16346,35841,12317,24394,4029,11447,7210,9495,4793,13788,18581,10027,3079,1852,5923,8349,43931
16,17,2015,2019,MEM,NBA,5,410,195,215,0.476,99225,15226,34188,11963,24732,3263,9456,7347,9425,4160,12999,17159,8948,3374,1885,5617,8891,41062
17,18,2015,2019,DET,NBA,5,410,193,217,0.471,99175,15814,35774,11861,24441,3953,11333,6453,9033,4746,13753,18499,8810,2967,1645,5420,7902,42034
18,19,2015,2019,CHA,NBA,5,410,192,218,0.468,99200,15536,35322,11540,23983,3996,11339,7688,9872,3916,14194,18110,8998,2815,2054,4990,7300,42756
19,20,2015,2019,NOH,NBA,5,410,190,220,0.463,99175,16552,35769,12817,25278,3735,10491,6914,9075,4048,14105,18153,9904,3091,2231,5681,8035,43753
20,21,2015,2019,CHI,NBA,5,410,182,228,0.444,99325,15771,35598,12201,25517,3570,10081,6968,8904,4373,14150,18523,9221,2881,1979,5704,7729,42080
21,22,2015,2019,DAL,NBA,5,410,182,228,0.444,99250,15597,34850,11192,22263,4405,12587,6763,8796,3754,13506,17260,9140,2948,1645,5256,8034,42362
22,23,2015,2019,SAC,NBA,5,410,160,250,0.39,99025,16118,35134,12595,25563,3523,9571,7188,9638,4161,13537,17698,9371,3232,1719,6080,8429,42947
23,24,2015,2019,MIN,NBA,5,410,159,251,0.388,99125,16094,34956,13147,26461,2947,8495,8139,10284,4479,12876,17355,9506,3350,1828,5707,8072,43274
24,25,2015,2019,PHI,NBA,5,410,159,251,0.388,99025,15579,34987,11502,23210,4077,11777,7144,9735,4347,13868,18215,9825,3449,2254,6738,8907,42379
25,26,2015,2019,ORL,NBA,5,410,156,254,0.38,98975,15955,35394,12283,24801,3672,10593,6201,8220,4016,13644,17660,9461,3065,1972,5741,8104,41783
26,27,2015,2019,NJN,NBA,5,410,149,261,0.363,99275,15744,35183,11707,23562,4037,11621,7220,9474,4122,13891,18013,9196,2847,1788,6182,8232,42748
27,28,2015,2019,LAL,NBA,5,410,136,274,0.332,99050,15987,35814,12417,25217,3570,10597,7113,9636,4474,13840,18314,8954,3096,1851,6032,8538,42657
28,29,2015,2019,NYK,NBA,5,410,126,284,0.307,99125,15616,35302,12246,25569,3370,9733,6695,8572,4416,13517,17933,8772,2732,2146,5802,8447,41297
29,30,2015,2019,PHO,NBA,5,410,126,284,0.307,99000,15941,35621,12337,24915,3604,10706,7350,9651,4405,13427,17832,8664,3309,1885,6481,9371,42836
