,TEAM,CONF,DIVISION,GP,PTS/GM,aPTS/GM,PTS  DIFF,PACE,OEFF,DEFF,EDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
0,Atlanta,East,Southeast,82,113.3,119.4,-6.1,103.9,108.2,113.9,-5.7,0.64,0.0,-5.06,12.5,-0.005,29,53,0.354,0.325,0.299,0.028999999999999998,L 3
1,Boston,East,Atlantic,82,112.4,108.0,4.4,99.6,112.3,107.8,4.5,-0.5,0.0,4.0,14.6,0.003,49,33,0.598,0.621,0.645,-0.023,W 1
2,Brooklyn,East,Atlantic,82,112.2,112.3,-0.1,100.8,109.6,109.7,-0.1,0.06,0.0,-0.04,12.7,0.028999999999999998,42,40,0.512,0.49700000000000005,0.49700000000000005,0.015,W 3
3,Charlotte,East,Southeast,82,110.7,111.8,-1.1,98.6,111.4,112.5,-1.1,-0.51,0.0,-1.61,16.2,-0.054000000000000006,39,43,0.47600000000000003,0.473,0.46399999999999997,0.003,L 1
4,Chicago,East,Central,82,104.9,113.4,-8.5,99.0,104.8,113.2,-8.4,0.88,0.0,-7.52,14.4,-0.051,22,60,0.268,0.28,0.22,-0.012,L 3
5,Cleveland,East,Central,82,104.5,114.1,-9.6,96.6,107.7,117.6,-9.9,0.59,0.0,-9.31,13.9,-0.078,19,63,0.23199999999999998,0.23800000000000002,0.184,-0.006,L 10
6,Dallas,West,Southwest,82,108.9,110.1,-1.2,99.0,109.4,110.7,-1.3,0.36,0.0,-0.94,14.3,0.009000000000000001,33,49,0.402,0.46399999999999997,0.46,-0.062,L 1
7,Denver,West,Northwest,82,110.7,106.7,4.0,97.7,113.0,108.9,4.1,0.26,0.0,4.36,15.0,0.018000000000000002,54,28,0.659,0.608,0.632,0.051,W 1
8,Detroit,East,Central,82,107.0,107.3,-0.3,97.4,109.0,109.2,-0.2,-0.44,0.0,-0.64,14.2,-0.023,41,41,0.5,0.494,0.49,0.006,W 2
9,Golden State,West,Pacific,82,117.7,111.2,6.5,100.8,116.0,109.6,6.4,-0.57,0.0,5.83,16.2,0.094,57,25,0.695,0.653,0.7140000000000001,0.042,L 1
10,Houston,West,Southwest,82,113.9,109.1,4.8,97.8,115.6,110.7,4.9,0.13,0.0,5.03,14.0,0.0,53,29,0.6459999999999999,0.637,0.6579999999999999,0.009000000000000001,L 1
11,Indiana,East,Central,82,108.0,104.7,3.3,98.2,109.9,106.5,3.4,-1.47,0.0,1.93,15.6,-0.006999999999999999,48,34,0.585,0.586,0.609,-0.001,W 1
12,LA Clippers,West,Pacific,82,115.1,114.3,0.8,101.7,112.4,111.6,0.8,-0.13,0.0,0.67,14.3,0.033,48,34,0.585,0.522,0.526,0.063,W 1
13,LA Lakers,West,Pacific,82,111.7,113.4,-1.7,103.1,107.8,109.4,-1.6,-0.25,0.0,-1.85,13.3,0.03,37,45,0.451,0.452,0.444,-0.001,L 1
14,Memphis,West,Southwest,82,103.5,106.1,-2.6,96.6,106.1,108.8,-2.7,0.16,0.0,-2.54,12.0,-0.039,33,49,0.402,0.41100000000000003,0.414,-0.009000000000000001,W 1
15,Miami,East,Southeast,82,105.7,105.9,-0.2,98.2,107.4,107.6,-0.2,0.07,0.0,-0.13,14.3,0.018000000000000002,39,43,0.47600000000000003,0.494,0.493,-0.018000000000000002,L 1
16,Milwaukee,East,Central,82,118.1,109.2,8.9,103.3,113.7,105.2,8.5,-1.07,0.0,7.43,11.9,0.079,60,22,0.732,0.763,0.7929999999999999,-0.031,L 1
17,Minnesota,West,Northwest,82,112.5,114.0,-1.5,100.1,111.5,113.0,-1.5,0.91,0.0,-0.59,13.9,-0.059000000000000004,36,46,0.439,0.457,0.451,-0.018000000000000002,L 3
18,New Orleans,West,Southwest,82,115.4,116.8,-1.4,103.3,111.3,112.6,-1.3,0.35,0.0,-0.95,12.3,0.012,33,49,0.402,0.45799999999999996,0.45399999999999996,-0.055999999999999994,L 1
19,New York,East,Atlantic,82,104.6,113.8,-9.2,99.6,104.5,113.7,-9.2,0.74,0.0,-8.46,12.0,-0.057999999999999996,17,65,0.207,0.221,0.19699999999999998,-0.013999999999999999,L 1
20,Oklahoma City,West,Northwest,82,114.5,111.1,3.4,102.8,110.3,107.1,3.2,-0.52,0.0,2.68,11.4,-0.034,49,33,0.598,0.611,0.612,-0.013000000000000001,W 5
21,Orlando,East,Southeast,82,107.3,106.6,0.7,98.1,108.9,108.2,0.7,-0.11,0.0,0.59,16.0,0.006999999999999999,42,40,0.512,0.517,0.523,-0.005,W 4
22,Philadelphia,East,Atlantic,82,115.2,112.5,2.7,101.7,112.6,109.9,2.7,-0.19,0.0,2.51,14.1,0.061,51,31,0.622,0.5760000000000001,0.589,0.046,W 1
23,Phoenix,West,Pacific,82,107.4,116.8,-9.4,100.5,105.8,115.0,-9.2,1.32,0.0,-7.88,12.9,-0.061,19,63,0.23199999999999998,0.23800000000000002,0.19,-0.006,L 2
24,Portland,West,Northwest,82,114.7,110.5,4.2,99.1,114.6,110.5,4.1,-0.09,0.0,4.01,13.6,0.044000000000000004,53,29,0.6459999999999999,0.618,0.638,0.027999999999999997,W 3
25,Sacramento,West,Pacific,82,114.2,115.3,-1.1,103.1,110.5,111.6,-1.1,0.06,0.0,-1.04,12.7,-0.043,39,43,0.47600000000000003,0.465,0.46399999999999997,0.011000000000000001,L 3
26,San Antonio,West,Southwest,82,111.7,110.0,1.7,98.3,112.9,111.2,1.7,0.07,0.0,1.77,16.1,0.012,48,34,0.585,0.542,0.556,0.043,W 3
27,Toronto,East,Atlantic,82,114.4,108.4,6.0,100.1,113.2,107.2,6.0,-0.94,0.0,5.06,13.0,0.043,58,24,0.7070000000000001,0.6779999999999999,0.698,0.028999999999999998,W 2
28,Utah,West,Northwest,82,111.7,106.4,5.3,100.3,110.9,105.7,5.2,-0.87,0.0,4.33,16.3,0.069,50,32,0.61,0.625,0.675,-0.015,L 1
29,Washington,East,Southeast,82,114.0,116.9,-2.9,101.4,111.1,113.9,-2.8,-0.02,0.0,-2.82,11.8,-0.054000000000000006,32,50,0.39,0.406,0.405,-0.016,L 4
